paramtype,shape,parameter,regimen,resistance,setting,hiv,estimate,low,high,,,,
assay,beta,usens.notrace.nohiv.xneg,,,,,0.188,0.04,0.456,,,,
assay,beta,usens.notrace.hiv.xpos,,,,,0.977,0.92,0.997,,,,
assay,beta,usens.notrace.nohiv.xpos,,,,,0.986,0.95,0.998,,,,
assay,beta,usens.repeattrace.hiv.xneg,,,,,0.529,0.319,0.713,,,,
assay,beta,usens.repeattrace.nohiv.xneg,,,,,0.188,0.04,0.456,,,,
assay,beta,usens.repeattrace.hiv.xpos,,,,,0.977,0.92,0.997,,,,
assay,beta,usens.repeattrace.nohiv.xpos,,,,,0.993,0.961,0.999,,,,
assay,,xnspec.nohist,,,,,0.0244,0.0123,0.0433,,,,
assay,,xnspec.hist,,,,,0.0135,0.0016,0.048,,,,
assay,beta,unspec.trace.nohist.xneg,,,,,0.0296,0.0159,0.0501,,,,
assay,beta,unspec.trace.hist.xneg,,,,,0.0822,0.0432,0.1392,,,,
assay,beta,unspec.trace.nohist.xpos,,,,,0.909,0.587,0.998,,,,
assay,beta,unspec.trace.hist.xpos,,,,,0.99999,0.999988,0.999992,,,,
assay,beta,unspec.notrace.nohist.xneg,,,,,0.0296,0.0159,0.0501,,,,
assay,beta,unspec.notrace.hist.xneg,,,,,0.0822,0.0432,0.1392,,,,
assay,beta,unspec.notrace.nohist.xpos,,,,,0.909,0.587,0.998,,,,
assay,beta,unspec.notrace.hist.xpos,,,,,0.99999,0.999988,0.999992,,,,
assay,beta,unspec.repeattrace.nohist.xneg,,,,,0.0296,0.0159,0.0501,,,,
assay,beta,unspec.repeattrace.hist.xneg,,,,,0.0822,0.0432,0.1392,,,,
assay,beta,unspec.repeattrace.nohist.xpos,,,,,0.909,0.587,0.998,,,,
assay,beta,unspec.repeattrace.hist.xpos,,,,,0.99999,0.999988,0.999992,,,,
assay,,xrrsens,,,,,0.954,0.912,0.981,,,,
assay,,urrsens,,,,,0.57,0.25,0.84,,,,
assay,,rrspec,,,,,0.98,0.96,0.99,,,,
fixed,,rr_falsenegs,,,,,0,0,0,,,,
